"Item","Qty","Reference(s)","Value","link"
"1","6","C1, C2, C3, C4, C5, C13","100nF",
"2","1","C6","10uF",
"3","4","C7, C8, C9, C10","47 pF",
"4","1","IC1","ATMEGA168-AU",
"5","1","J1","Conn_01x06",
"6","1","J2","Conn_02x03_Odd_Even",
"7","1","J3","Conn_02x20_Odd_Even",
"8","1","J4","Conn_01x12",
"9","1","Q1","32768Hz",
"10","3","R1, R2, R5","4.7K",
"11","10","R4, R9, R10, R12, R13, R14, R15, R16, R17, R18","1K",
"12","1","U1","RFM26",
"13","1","U2","MIC94092YC6-TR","https://uk.rs-online.com/web/p/power-switch-ics/1773263/"
"14","1","D1","Red LED"
"15","1","R6","470R"

