"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C6";"C_1206_3216Metric";1;"100uF";;;
2;"REF**,REF**,REF**,REF**";"MountingHole_2.7mm_M2.5_ISO7380";4;"MountingHole_2.7mm_M2.5_ISO7380";;;
3;"J3";"Pin_Header_Straight_2x20_Pitch2.54mm";1;"Conn_02x20_Odd_Even";;;
4;"IC1";"TQFP32-08";1;"ATmega328P-AU";;;
5;"U1";"RFM26";1;"RFM26W-868S2";;;
6;"C4,C2,C3,C5,C1,C14";"C0603";6;"100nF";;;
7;"ANT1";"SMD1,27-2,54";1;"SMD2";;;
8;"Q1";"Crystal";1;"32768Hz";;;
9;"J1";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"Conn_01x06";;;
10;"J4";"Pin_Header_Straight_1x12_Pitch2.54mm";1;"Conn_01x12";;;
11;"J2";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"Conn_02x03_Odd_Even";;;
12;"R4,R15,R9,R10,R12,R13,R14,R16,R17,R3";"R0603";10;"1K";;;
13;"R5,R1,R2";"R0603";3;"4.7K";;;
14;"U2";"SOT-363_SC-70-6";1;"MIC94092YC6";;;
15;"C7,C8,C9,C10";"C0603";4;"47pF";;;
16;"C11,C12,C13";"C0603";3;"0nF";;;
17;"R18";"R0603";1;"1R";;;
18;"JP1";"JUMPER-SOLDER-SMD";1;"SolderJumper_2_Open";;;
