"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Part-No","Tolerance"
"1","1","ANT1","SMD2","RRAT_consolidated:SMD2","RRAT Consolidated:SMD1,27-2,54","","N/A","N/A"
"2","6","C1, C2, C3, C4, C5, C14","100nF","RRAT_consolidated:C","RRAT Consolidated:C0603","~","C0603C104K4RAC","10%"
"3","1","C6","100uF","RRAT_consolidated:C","Capacitor_SMD:C_1206_3216Metric","~","GRM31CR60G107ME39L","20%"
"4","4","C7, C8, C9, C10","47pF","RRAT_consolidated:C","RRAT Consolidated:C0603","~","0603N470J500NT","5%"
"5","3","C11, C12, C13","0nF","RRAT_consolidated:C","RRAT Consolidated:C0603","~","DNF","N/A"
"6","1","IC1","ATmega328P-AU","RRAT_consolidated:ATMEGA168-AU","RRAT Consolidated:TQFP32-08","","ATmega328P-AU","N/A"
"7","1","J1","Conn_01x06","RRAT_consolidated:Conn_01x06","RRAT Consolidated:Pin_Header_Straight_1x06_Pitch2.54mm","~","","N/A"
"8","1","J2","Conn_02x03_Odd_Even","RRAT_consolidated:Conn_02x03_Odd_Even","RRAT Consolidated:Pin_Header_Straight_2x03_Pitch2.54mm","~","","N/A"
"9","1","J3","Conn_02x20_Odd_Even","RRAT_consolidated:Conn_02x20_Odd_Even","RRAT Consolidated:Pin_Header_Straight_2x20_Pitch2.54mm","~","","N/A"
"10","1","J4","Conn_01x12","Connector_Generic:Conn_01x12","RRAT Consolidated:Pin_Header_Straight_1x12_Pitch2.54mm","~","W81136T3816RC","N/A"
"11","1","JP1","SolderJumper_2_Open","Jumper:SolderJumper_2_Open","RRAT Consolidated:JUMPER-SOLDER-SMD","~","N/A","N/A"
"12","1","Q1","32768Hz","RRAT_consolidated:Crystal","RRAT Consolidated:Crystal","","QTC332.76812B2R","20ppm"
"13","3","R1, R2, R5","4.7K","RRAT_consolidated:R","RRAT Consolidated:R0603","~","CRG0603F4K7","1%"
"14","10","R3, R4, R9, R10, R12, R13, R14, R15, R16, R17","1K","RRAT_consolidated:R","RRAT Consolidated:R0603","~","CRG0603F1K0","1%"
"15","1","R18","1R","RRAT_consolidated:R","RRAT Consolidated:R0603","~","RC0603FR-071RL","1%"
"16","1","U1","RFM26W-868S2","RRAT_consolidated:RFM26","RRAT Consolidated:RFM26","","RFM26W-868S2","N/A"
"17","1","U2","MIC94092YC6","RRAT_consolidated:MIC9409x","sc-70-6:SOT-363_SC-70-6","","MIC94092YC6","N/A"
