,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Quantity per board,Need to order,Min order,Unit price,Line Total,Seller Stock No,Manufacturer,Manufacturer Part. No.,Description,Legend,Supplier,Direct Link
2,0,50,0.027,0.00,213-2531,TE Connectivity,CRG0603F100K,100Kohm,"R1, R20",RS Components,http://uk.rs-online.com/web/p/surface-mount-fixed-resistors/2132531
17,0,50,0.009,0.00,213-2367,TE Connectivity,CRG0603F4K7,4.7Kohm,"R9, R3, R4, R18, R6, R8, R2, R5, R7, R17, R15, R10, R11, R12, R13, R14, R16",RS Components,http://uk.rs-online.com/web/p/surface-mount-fixed-resistors/2132367
5,0,25,0.016,0.00,264-4630,Kemet,C0603C104K4RAC,100nF,"C5, C4, (C11), C9, C10, C12",RS Components,http://uk.rs-online.com/web/p/ceramic-multilayer-capacitors/2644630
1,0,5,0.766,0.00,667-6120,EPSON TOYOCOM,"MC-306, 32.768kHz, 20ppm, 6pF",Crystal,Q1,RS Components,http://uk.rs-online.com/web/p/crystal-units/6676120
1,0,10,0.277,0.00,700-0776,Vishay,TEPT4400,60° Visible Light Phototransistor,PHT,RS Components,http://uk.rs-online.com/web/p/phototransistors/7000776/
1,0,1,2.260,0.00,696-3092,Atmel,ATMEGA328P-AU,ATmega328P-AU,IC2,RS Components,http://uk.rs-online.com/web/p/microcontrollers/6963092/
1,0,25,0.535,0.00,251-8165,RS,W82120T3825RC,20 pin header,IC2_EXT,Rs Components,http://uk.rs-online.com/web/p/pcb-headers/2518165/
1,0,1,3.190,0.00,30-3120,,,Box,,,http://evatron.com/enclosures/high-spec-ul94-v-0-ip-rated-enclosures-de-series/de03s-a-tg-0/
1,30,1,2.820,84.6,1855468,Sensiron,SHT21,SHT21,U4,RS Components,http://uk.rs-online.com/web/p/temperature-humidity-sensors/7865554/
1,0,1,1.770,0.00,709-8868,Texas Instruments,TMP112AIDRLT,TMP112,TMP112,RS Components,http://uk.rs-online.com/web/p/temperature-humidity-sensors/7098868
1,,,Total:,0.00,,Microchip,,RN2483,U1,RS Components,http://uk.rs-online.com/web/p/wlan-modules/8806821/
1,,,Per board,#DIV/0!,,RS,M20-9991045,10 way pin header,JP2,RS Components,http://uk.rs-online.com/web/p/pcb-headers/6813004/
1,,,,,,RS,W81104T3825RC,4 way pin header,JP4,RS Components,http://uk.rs-online.com/web/p/pcb-headers/2518115/
2,,,,,,Harwin,M20-9990646,6 way pin header,"FTDI_RN2483, JP3",RS Components,http://uk.rs-online.com/web/p/pcb-headers/7457062/
1,,,,,,Linear Technology,LTC3525ESC6-3.3#TRMPBF,Charge Pump IC,IC1,RS Components,http://uk.rs-online.com/web/p/dc-dc-converters/8226828/
1,,,,,,Kemet,C0603C105K8PACTU,1uF,C1,RS Components,http://uk.rs-online.com/web/p/ceramic-multilayer-capacitors/4612708/
1,,,,,,TDK,C1608X5R1A106K080AC,10uF,C2,RS Components,http://uk.rs-online.com/web/p/ceramic-multilayer-capacitors/7882893/
1,,,,,,Murata,LQH32CN100K23L,10 uH Inductor,L1,RS Components,http://uk.rs-online.com/web/p/wire-wound-surface-mount-inductors/4811882/
1,,,,,,RF Solutions,ANT-BEAD-868,868 Mhz bead antenna,On PAD2 near LoRa Module (DO NOT FIT),RS Components,http://uk.rs-online.com/web/p/telemetry-antennas/7424444/
1,,,,,,Touchstone Semiconductor,TS1003IG5T,Op Amp,IC3 (DO NOT FIT),RS Components,http://uk.rs-online.com/web/p/operational-amplifiers/7878080/
2,,,,,,Kemet,C0603C220J5GACTU,22pF,"C3, C6 (DO NOT ORDER)",RS Components,http://uk.rs-online.com/web/p/ceramic-multilayer-capacitors/2644501/
1,,,,,,Murata,RPEF51H224Z2M1A03A,0.22uF,C7 (DO NOT FIT),RS Components,http://uk.rs-online.com/web/p/ceramic-single-layer-capacitors/0107029/
1,,,,,,TDK,C3216X5R1A107M160AC,100uF,C8 (DO NOT FIT),RS Components,http://uk.rs-online.com/web/p/ceramic-multilayer-capacitors/7883057/
2,,,,,,Vishay,CRCW06032M20FKEA,2.2Mohm,"R19, R21 (DO NOT FIT)",RS Components,http://uk.rs-online.com/web/p/surface-mount-fixed-resistors/6790162/
1,,,,,,Kemet,C0603C104K4RACTU,0.1uF,C13 (DO NOT FIT),RS Components,http://uk.rs-online.com/web/p/ceramic-multilayer-capacitors/2644630/
